,don_id,date,ppe,qty
50,don472,2020-04-15 10:56:00+00:00,printedFaceShields,14.0
51,don363,2020-04-15 16:05:00+00:00,printedFaceShields,100.0
52,don680,2020-04-15 19:24:00+00:00,printedFaceShields,70.0
53,don213,2020-04-15 20:54:00+00:00,printedFaceShields,3000.0
54,don288,2020-04-15 22:04:00+00:00,printedFaceShields,100.0
55,don337,2020-04-16 00:19:00+00:00,printedFaceShields,100.0
56,don332,2020-04-16 10:52:00+00:00,printedFaceShields,100.0
57,don114,2020-04-16 11:19:00+00:00,printedFaceShields,300.0
58,don113,2020-04-16 12:22:00+00:00,printedFaceShields,10000.0
59,don448,2020-04-16 14:49:00+00:00,printedFaceShields,82.0
60,don449,2020-04-16 16:01:00+00:00,printedFaceShields,15.0
61,don450,2020-04-16 16:39:00+00:00,printedFaceShields,9.0
62,don339,2020-04-16 17:00:00+00:00,printedFaceShields,50.0
63,don336,2020-04-16 17:31:00+00:00,printedFaceShields,100.0
64,don337,2020-04-16 19:07:00+00:00,printedFaceShields,100.0
65,don338,2020-04-16 19:55:00+00:00,printedFaceShields,300.0
66,don407,2020-04-16 23:15:00+00:00,printedFaceShields,15.0
67,don409,2020-04-17 01:18:00+00:00,printedFaceShields,40.0
68,don408,2020-04-17 13:16:00+00:00,printedFaceShields,50.0
69,don536,2020-04-17 18:27:00+00:00,printedFaceShields,500.0
70,don736,2020-04-18 13:18:00+00:00,printedFaceShields,100000000000000.0
71,don669,2020-04-18 14:12:00+00:00,printedFaceShields,30.0
72,don566,2020-04-18 23:34:00+00:00,printedFaceShields,25.0
73,don587,2020-04-19 00:41:00+00:00,printedFaceShields,50.0
74,don74,2020-04-19 04:00:00+00:00,surgicalMasks,20.0
75,don578,2020-04-19 04:00:00+00:00,surgicalMasks,50.0
76,don420,2020-04-19 04:00:00+00:00,handmadeMasks,50.0
77,don77,2020-04-19 04:00:00+00:00,respirators,4.0
78,don605,2020-04-19 04:00:00+00:00,faceShields,15.0
79,don79,2020-04-19 04:00:00+00:00,faceShields,400.0
80,don80,2020-04-19 04:00:00+00:00,faceShields,100.0
81,don154,2020-04-19 04:00:00+00:00,handmadeMasks,10.0
82,don746,2020-04-19 04:00:00+00:00,surgicalMasks,15.0
83,don109,2020-04-19 04:00:00+00:00,handmadeMasks,25.0
84,don84,2020-04-19 04:00:00+00:00,handmadeMasks,200.0
85,don740,2020-04-19 04:00:00+00:00,handmadeMasks,2.0
86,don577,2020-04-19 04:00:00+00:00,surgicalMasks,250.0
87,don731,2020-04-19 04:00:00+00:00,handmadeMasks,1.0
88,don532,2020-04-19 04:00:00+00:00,surgicalMasks,40.0
89,don208,2020-04-19 04:00:00+00:00,surgicalMasks,1250.0
90,don726,2020-04-19 04:00:00+00:00,respirators,10.0
91,don91,2020-04-19 04:00:00+00:00,respirators,18.0
92,don92,2020-04-19 04:00:00+00:00,respirators,1.0
93,don93,2020-04-19 04:00:00+00:00,printedFaceShields,70.0
94,don94,2020-04-19 04:00:00+00:00,respirators,1000.0
95,don95,2020-04-19 04:00:00+00:00,respirators,5.0
96,don494,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
97,don97,2020-04-19 04:00:00+00:00,surgicalMasks,95.0
98,don98,2020-04-19 04:00:00+00:00,respirators,5.0
99,don370,2020-04-19 04:00:00+00:00,nitrileGloves,800000.0
100,don717,2020-04-19 04:00:00+00:00,nitrileGloves,1.0
101,don714,2020-04-19 04:00:00+00:00,nitrileGloves,5000.0
102,don102,2020-04-19 04:00:00+00:00,surgicalMasks,8.0
103,don103,2020-04-19 04:00:00+00:00,respirators,20.0
104,don572,2020-04-19 04:00:00+00:00,surgicalMasks,240.0
105,don420,2020-04-19 04:00:00+00:00,handmadeMasks,50.0
106,don605,2020-04-19 04:00:00+00:00,nitrileGloves,40.0
107,don107,2020-04-19 04:00:00+00:00,faceShields,7.0
108,don108,2020-04-19 04:00:00+00:00,respirators,15.0
109,don109,2020-04-19 04:00:00+00:00,nitrileGloves,500.0
110,don110,2020-04-19 04:00:00+00:00,nitrileGloves,30.0
111,don111,2020-04-19 04:00:00+00:00,nitrileGloves,1000.0
112,don112,2020-04-19 04:00:00+00:00,faceShields,50.0
113,don113,2020-04-19 04:00:00+00:00,faceShields,10000.0
114,don114,2020-04-19 04:00:00+00:00,faceShields,300.0
115,don115,2020-04-19 04:00:00+00:00,faceShields,200.0
116,don116,2020-04-19 04:00:00+00:00,respirators,1.0
117,don705,2020-04-19 04:00:00+00:00,respirators,120.0
118,don118,2020-04-19 04:00:00+00:00,respirators,2.0
119,don119,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
120,don431,2020-04-19 04:00:00+00:00,gowns,100.0
121,don666,2020-04-19 04:00:00+00:00,respirators,25.0
122,don122,2020-04-19 04:00:00+00:00,nitrileGloves,800.0
123,don247,2020-04-19 04:00:00+00:00,gowns,400.0
124,don124,2020-04-19 04:00:00+00:00,respirators,100.0
125,don125,2020-04-19 04:00:00+00:00,printedFaceShields,40.0
126,don730,2020-04-19 04:00:00+00:00,faceShields,10000000000.0
127,don127,2020-04-19 04:00:00+00:00,faceShields,100.0
128,don128,2020-04-19 04:00:00+00:00,faceShields,500.0
129,don129,2020-04-19 04:00:00+00:00,surgicalMasks,500.0
130,don130,2020-04-19 04:00:00+00:00,surgicalMasks,500.0
131,don131,2020-04-19 04:00:00+00:00,surgicalMasks,100.0
132,don764,2020-04-19 04:00:00+00:00,surgicalMasks,1000.0
133,don737,2020-04-19 04:00:00+00:00,surgicalMasks,5.0
134,don134,2020-04-19 04:00:00+00:00,handmadeMasks,100.0
135,don135,2020-04-19 04:00:00+00:00,respirators,2.0
136,don136,2020-04-19 04:00:00+00:00,coveralls,4.0
137,don473,2020-04-19 04:00:00+00:00,gowns,10000.0
138,don265,2020-04-19 04:00:00+00:00,nitrileGloves,8.0
139,don445,2020-04-19 04:00:00+00:00,respirators,3.0
140,don553,2020-04-19 04:00:00+00:00,respirators,20.0
141,don141,2020-04-19 04:00:00+00:00,respirators,5.0
142,don142,2020-04-19 04:00:00+00:00,surgicalMasks,80.0
143,don143,2020-04-19 04:00:00+00:00,respirators,1.0
144,don144,2020-04-19 04:00:00+00:00,printedFaceShields,70.0
145,don145,2020-04-19 04:00:00+00:00,respirators,19.0
146,don146,2020-04-19 04:00:00+00:00,respirators,35.0
147,don147,2020-04-19 04:00:00+00:00,nitrileGloves,200.0
148,don276,2020-04-19 04:00:00+00:00,respirators,3000.0
149,don149,2020-04-19 04:00:00+00:00,respirators,3.0
150,don150,2020-04-19 04:00:00+00:00,respirators,18.0
151,don649,2020-04-19 04:00:00+00:00,respirators,12.0
152,don152,2020-04-19 04:00:00+00:00,respirators,8000.0
153,don153,2020-04-19 04:00:00+00:00,faceShields,50.0
154,don154,2020-04-19 04:00:00+00:00,faceShields,10.0
155,don155,2020-04-19 04:00:00+00:00,faceShields,100000.0
156,don156,2020-04-19 04:00:00+00:00,faceShields,5.0
157,don157,2020-04-19 04:00:00+00:00,faceShields,3000.0
158,don696,2020-04-19 04:00:00+00:00,surgicalMasks,185.0
159,don159,2020-04-19 04:00:00+00:00,surgicalMasks,8.0
160,don722,2020-04-19 04:00:00+00:00,surgicalMasks,10000.0
161,don691,2020-04-19 04:00:00+00:00,surgicalMasks,50.0
162,don685,2020-04-19 04:00:00+00:00,surgicalMasks,100.0
163,don163,2020-04-19 04:00:00+00:00,handmadeMasks,50.0
164,don164,2020-04-19 04:00:00+00:00,respirators,2.0
165,don165,2020-04-19 04:00:00+00:00,nitrileGloves,500.0
166,don166,2020-04-19 04:00:00+00:00,respirators,10.0
167,don167,2020-04-19 04:00:00+00:00,respirators,2.0
168,don168,2020-04-19 04:00:00+00:00,respirators,6.0
169,don446,2020-04-19 04:00:00+00:00,respirators,5.0
170,don170,2020-04-19 04:00:00+00:00,nitrileGloves,95.0
171,don370,2020-04-19 04:00:00+00:00,faceShields,500.0
172,don172,2020-04-19 04:00:00+00:00,respirators,12.0
173,don173,2020-04-19 04:00:00+00:00,respirators,5.0
174,don174,2020-04-19 04:00:00+00:00,printedFaceShields,24.0
175,don175,2020-04-19 04:00:00+00:00,printedFaceShields,50.0
176,don717,2020-04-19 04:00:00+00:00,gowns,10.0
177,don760,2020-04-19 04:00:00+00:00,gowns,4.0
178,don178,2020-04-19 04:00:00+00:00,gowns,500.0
179,don179,2020-04-19 04:00:00+00:00,gowns,8.0
180,don180,2020-04-19 04:00:00+00:00,printedFaceShields,1000.0
181,don181,2020-04-19 04:00:00+00:00,nitrileGloves,5.0
182,don182,2020-04-19 04:00:00+00:00,printedFaceShields,30.0
183,don183,2020-04-19 04:00:00+00:00,nitrileGloves,3.0
184,don184,2020-04-19 04:00:00+00:00,respirators,140.0
185,don185,2020-04-19 04:00:00+00:00,respirators,2000.0
186,don533,2020-04-19 04:00:00+00:00,respirators,20.0
187,don187,2020-04-19 04:00:00+00:00,handmadeMasks,32.0
188,don188,2020-04-19 04:00:00+00:00,respirators,500.0
189,don189,2020-04-19 04:00:00+00:00,faceShields,48.0
190,don190,2020-04-19 04:00:00+00:00,faceShields,100.0
191,don191,2020-04-19 04:00:00+00:00,faceShields,100.0
192,don192,2020-04-19 04:00:00+00:00,faceShields,4000.0
193,don193,2020-04-19 04:00:00+00:00,surgicalMasks,1000.0
194,don693,2020-04-19 04:00:00+00:00,surgicalMasks,2000.0
195,don706,2020-04-19 04:00:00+00:00,surgicalMasks,10000.0
196,don550,2020-04-19 04:00:00+00:00,surgicalMasks,15.0
197,don197,2020-04-19 04:00:00+00:00,surgicalMasks,30.0
198,don198,2020-04-19 04:00:00+00:00,printedFaceShields,20.0
199,don199,2020-04-19 04:00:00+00:00,respirators,10.0
200,don200,2020-04-19 04:00:00+00:00,surgicalMasks,300.0
201,don201,2020-04-19 04:00:00+00:00,respirators,16.0
202,don224,2020-04-19 04:00:00+00:00,respirators,2.0
203,don203,2020-04-19 04:00:00+00:00,printedFaceShields,100.0
204,don204,2020-04-19 04:00:00+00:00,respirators,7.0
205,don205,2020-04-19 04:00:00+00:00,surgicalMasks,50.0
206,don206,2020-04-19 04:00:00+00:00,respirators,20.0
207,don389,2020-04-19 04:00:00+00:00,faceShields,200.0
208,don208,2020-04-19 04:00:00+00:00,respirators,50.0
209,don209,2020-04-19 04:00:00+00:00,respirators,1.0
210,don707,2020-04-19 04:00:00+00:00,faceShields,500.0
211,don705,2020-04-19 04:00:00+00:00,faceShields,200.0
212,don706,2020-04-19 04:00:00+00:00,faceShields,1.0
213,don213,2020-04-19 04:00:00+00:00,faceShields,3000.0
214,don214,2020-04-19 04:00:00+00:00,handmadeMasks,10.0
215,don215,2020-04-19 04:00:00+00:00,respirators,10.0
216,don216,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
217,don217,2020-04-19 04:00:00+00:00,surgicalMasks,200.0
218,don373,2020-04-19 04:00:00+00:00,respirators,300.0
219,don219,2020-04-19 04:00:00+00:00,respirators,1.0
220,don220,2020-04-19 04:00:00+00:00,respirators,14.0
221,don268,2020-04-19 04:00:00+00:00,respirators,300.0
222,don350,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
223,don764,2020-04-19 04:00:00+00:00,nitrileGloves,1000.0
224,don224,2020-04-19 04:00:00+00:00,nitrileGloves,6.0
225,don273,2020-04-19 04:00:00+00:00,nitrileGloves,300.0
226,don226,2020-04-19 04:00:00+00:00,nitrileGloves,6.0
227,don227,2020-04-19 04:00:00+00:00,surgicalMasks,10000.0
228,don228,2020-04-19 04:00:00+00:00,surgicalMasks,100.0
229,don665,2020-04-19 04:00:00+00:00,surgicalMasks,20.0
230,don589,2020-04-19 04:00:00+00:00,surgicalMasks,3.0
231,don231,2020-04-19 04:00:00+00:00,surgicalMasks,500.0
232,don232,2020-04-19 04:00:00+00:00,safetyGlasses,40.0
233,don233,2020-04-19 04:00:00+00:00,respirators,2.0
234,don234,2020-04-19 04:00:00+00:00,respirators,4.0
235,don235,2020-04-19 04:00:00+00:00,respirators,75.0
236,don637,2020-04-19 04:00:00+00:00,respirators,3.0
237,don237,2020-04-19 04:00:00+00:00,nitrileGloves,300.0
238,don238,2020-04-19 04:00:00+00:00,faceShields,10.0
239,don382,2020-04-19 04:00:00+00:00,surgicalMasks,30.0
240,don382,2020-04-19 04:00:00+00:00,surgicalMasks,30.0
241,don387,2020-04-19 04:00:00+00:00,surgicalMasks,50.0
242,don242,2020-04-19 04:00:00+00:00,surgicalMasks,20.0
243,don243,2020-04-19 04:00:00+00:00,respirators,30.0
244,don244,2020-04-19 04:00:00+00:00,respirators,2.0
245,don245,2020-04-19 04:00:00+00:00,respirators,10.0
246,don246,2020-04-19 04:00:00+00:00,printedFaceShields,20.0
247,don247,2020-04-19 04:00:00+00:00,respirators,200.0
248,don248,2020-04-19 04:00:00+00:00,respirators,1.0
249,don461,2020-04-19 04:00:00+00:00,printedFaceShields,200.0
250,don250,2020-04-19 04:00:00+00:00,faceShields,1.0
251,don251,2020-04-19 04:00:00+00:00,respirators,5.0
252,don303,2020-04-19 04:00:00+00:00,gowns,50.0
253,don578,2020-04-19 04:00:00+00:00,gowns,50.0
254,don254,2020-04-19 04:00:00+00:00,gowns,1.0
255,don255,2020-04-19 04:00:00+00:00,gowns,100.0
256,don581,2020-04-19 04:00:00+00:00,gowns,1.0
257,don257,2020-04-19 04:00:00+00:00,disposableBooties,5250.0
258,don258,2020-04-19 04:00:00+00:00,respirators,40.0
259,don259,2020-04-19 04:00:00+00:00,printedFaceShields,30.0
260,don260,2020-04-19 04:00:00+00:00,handSanitizer,8.0
261,don261,2020-04-19 04:00:00+00:00,handmadeMasks,25.0
262,don536,2020-04-19 04:00:00+00:00,respirators,100.0
263,don263,2020-04-19 04:00:00+00:00,respirators,5000.0
264,don264,2020-04-19 04:00:00+00:00,respirators,120.0
265,don265,2020-04-19 04:00:00+00:00,respirators,2.0
266,don666,2020-04-19 04:00:00+00:00,nitrileGloves,800.0
267,don370,2020-04-19 04:00:00+00:00,respirators,100000.0
268,don268,2020-04-19 04:00:00+00:00,nitrileGloves,200.0
269,don324,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
270,don359,2020-04-19 04:00:00+00:00,nitrileGloves,20.0
271,don737,2020-04-19 04:00:00+00:00,disinfectingWipes,2.0
272,don275,2020-04-19 04:00:00+00:00,disinfectingWipes,5000.0
273,don273,2020-04-19 04:00:00+00:00,disinfectingWipes,2.0
274,don666,2020-04-19 04:00:00+00:00,disinfectingWipes,200.0
275,don275,2020-04-19 04:00:00+00:00,disinfectingWipes,5000.0
276,don276,2020-04-19 04:00:00+00:00,handmadeMasks,3000.0
277,don420,2020-04-19 04:00:00+00:00,handmadeMasks,50.0
278,don278,2020-04-19 04:00:00+00:00,handmadeMasks,70.0
279,don279,2020-04-19 04:00:00+00:00,surgicalMasks,15000.0
280,don280,2020-04-19 04:00:00+00:00,disinfectingWipes,150.0
281,don281,2020-04-19 04:00:00+00:00,printedFaceShields,25.0
282,don282,2020-04-19 04:00:00+00:00,respirators,4.0
283,don283,2020-04-19 04:00:00+00:00,babyMonitors,50.0
284,don337,2020-04-19 04:00:00+00:00,faceShields,100.0
285,don332,2020-04-19 04:00:00+00:00,faceShields,100.0
286,don514,2020-04-19 04:00:00+00:00,faceShields,500.0
287,don578,2020-04-19 04:00:00+00:00,faceShields,5.0
288,don288,2020-04-19 04:00:00+00:00,faceShields,100.0
289,don289,2020-04-19 04:00:00+00:00,nitrileGloves,1.0
290,don290,2020-04-19 04:00:00+00:00,nitrileGloves,700.0
291,don291,2020-04-19 04:00:00+00:00,nitrileGloves,9.0
292,don292,2020-04-19 04:00:00+00:00,nitrileGloves,300.0
293,don293,2020-04-19 04:00:00+00:00,surgicalMasks,25.0
294,don294,2020-04-19 04:00:00+00:00,respirators,8.0
295,don295,2020-04-19 04:00:00+00:00,respirators,5.0
296,don745,2020-04-19 04:00:00+00:00,respirators,500.0
297,don297,2020-04-19 04:00:00+00:00,surgicalMasks,100.0
298,don762,2020-04-19 04:00:00+00:00,surgicalMasks,35.0
299,don299,2020-04-19 04:00:00+00:00,respirators,900.0
300,don300,2020-04-19 04:00:00+00:00,handmadeMasks,18.0
301,don301,2020-04-19 04:00:00+00:00,handmadeMasks,30.0
302,don302,2020-04-19 04:00:00+00:00,handmadeMasks,490.0
303,don303,2020-04-19 04:00:00+00:00,handmadeMasks,500.0
304,don304,2020-04-19 04:00:00+00:00,gowns,9.0
305,don305,2020-04-19 04:00:00+00:00,respirators,30.0
306,don306,2020-04-19 04:00:00+00:00,coveralls,384.0
307,don307,2020-04-19 04:00:00+00:00,surgicalMasks,1000.0
308,don308,2020-04-19 04:00:00+00:00,faceShields,100.0
309,don309,2020-04-19 04:00:00+00:00,respirators,20.0
310,don310,2020-04-19 04:00:00+00:00,surgicalMasks,80.0
311,don311,2020-04-19 04:00:00+00:00,respirators,2.0
312,don312,2020-04-19 04:00:00+00:00,surgicalMasks,50.0
313,don313,2020-04-19 04:00:00+00:00,surgicalMasks,150.0
314,don314,2020-04-19 04:00:00+00:00,respirators,140.0
315,don728,2020-04-19 04:00:00+00:00,respirators,6.0
316,don625,2020-04-19 04:00:00+00:00,respirators,3.0
317,don317,2020-04-19 04:00:00+00:00,respirators,1000.0
318,don401,2020-04-19 04:00:00+00:00,respirators,450.0
319,don319,2020-04-19 04:00:00+00:00,faceShields,100.0
320,don320,2020-04-19 04:00:00+00:00,faceShields,14.0
321,don720,2020-04-19 04:00:00+00:00,faceShields,10.0
322,don322,2020-04-19 04:00:00+00:00,faceShields,200.0
323,don323,2020-04-19 04:00:00+00:00,surgicalMasks,150.0
324,don324,2020-04-19 04:00:00+00:00,surgicalMasks,5.0
325,don325,2020-04-19 04:00:00+00:00,surgicalMasks,500.0
326,don326,2020-04-19 04:00:00+00:00,surgicalMasks,1.0
327,don327,2020-04-19 04:00:00+00:00,surgicalMasks,75.0
328,don328,2020-04-19 04:00:00+00:00,gowns,40.0
329,don329,2020-04-19 04:00:00+00:00,surgicalMasks,10.0
330,don442,2020-04-19 04:00:00+00:00,surgicalMasks,3.0
331,don331,2020-04-19 04:00:00+00:00,surgicalMasks,2000.0
332,don332,2020-04-19 04:00:00+00:00,nitrileGloves,50.0
333,don333,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
334,don334,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
335,don764,2020-04-19 04:00:00+00:00,faceShields,1000.0
336,don336,2020-04-19 04:00:00+00:00,faceShields,100.0
337,don337,2020-04-19 04:00:00+00:00,faceShields,100.0
338,don338,2020-04-19 04:00:00+00:00,faceShields,300.0
339,don339,2020-04-19 04:00:00+00:00,faceShields,50.0
340,don340,2020-04-19 04:00:00+00:00,printedFaceShields,50.0
341,don341,2020-04-19 04:00:00+00:00,printedFaceShields,100.0
342,don342,2020-04-19 04:00:00+00:00,gowns,500.0
343,don343,2020-04-19 04:00:00+00:00,gowns,500.0
344,don605,2020-04-19 04:00:00+00:00,gowns,3.0
345,don620,2020-04-19 04:00:00+00:00,gowns,10.0
346,don756,2020-04-19 04:00:00+00:00,gowns,75.0
347,don347,2020-04-19 04:00:00+00:00,nitrileGloves,20.0
348,don472,2020-04-19 04:00:00+00:00,faceShields,14.0
349,don349,2020-04-19 04:00:00+00:00,faceShields,100.0
350,don350,2020-04-19 04:00:00+00:00,surgicalMasks,50.0
351,don666,2020-04-19 04:00:00+00:00,surgicalMasks,200.0
352,don352,2020-04-19 04:00:00+00:00,surgicalMasks,500.0
353,don353,2020-04-19 04:00:00+00:00,respirators,10.0
354,don354,2020-04-19 04:00:00+00:00,nitrileGloves,75.0
355,don355,2020-04-19 04:00:00+00:00,surgicalMasks,25.0
356,don356,2020-04-19 04:00:00+00:00,respirators,300.0
357,don357,2020-04-19 04:00:00+00:00,respirators,30.0
358,don358,2020-04-19 04:00:00+00:00,respirators,60.0
359,don359,2020-04-19 04:00:00+00:00,respirators,2.0
360,don360,2020-04-19 04:00:00+00:00,respirators,10.0
361,don577,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
362,don362,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
363,don363,2020-04-19 04:00:00+00:00,faceShields,100.0
364,don364,2020-04-19 04:00:00+00:00,printedFaceShields,9.0
365,don405,2020-04-19 04:00:00+00:00,respirators,1.0
366,don366,2020-04-19 04:00:00+00:00,faceShields,1000.0
367,don367,2020-04-19 04:00:00+00:00,faceShields,50.0
368,don368,2020-04-19 04:00:00+00:00,faceShields,400.0
369,don369,2020-04-19 04:00:00+00:00,faceShields,30.0
370,don370,2020-04-19 04:00:00+00:00,surgicalMasks,100000.0
371,don371,2020-04-19 04:00:00+00:00,surgicalMasks,60.0
372,don605,2020-04-19 04:00:00+00:00,surgicalMasks,30.0
373,don373,2020-04-19 04:00:00+00:00,surgicalMasks,6000.0
374,don374,2020-04-19 04:00:00+00:00,printedFaceShields,15.0
375,don375,2020-04-19 04:00:00+00:00,printedFaceShields,42.0
376,don376,2020-04-19 04:00:00+00:00,respirators,200.0
377,don377,2020-04-19 04:00:00+00:00,printedFaceShields,50.0
378,don378,2020-04-19 04:00:00+00:00,faceShields,15.0
379,don388,2020-04-19 04:00:00+00:00,respirators,10.0
380,don382,2020-04-19 04:00:00+00:00,respirators,45.0
381,don381,2020-04-19 04:00:00+00:00,respirators,10.0
382,don382,2020-04-19 04:00:00+00:00,respirators,45.0
383,don383,2020-04-19 04:00:00+00:00,respirators,11.0
384,don384,2020-04-19 04:00:00+00:00,nitrileGloves,700.0
385,don685,2020-04-19 04:00:00+00:00,nitrileGloves,200.0
386,don675,2020-04-19 04:00:00+00:00,nitrileGloves,200.0
387,don387,2020-04-19 04:00:00+00:00,nitrileGloves,100.0
388,don388,2020-04-19 04:00:00+00:00,nitrileGloves,1.0
389,don389,2020-04-19 04:00:00+00:00,faceShields,2000.0
390,don536,2020-04-19 04:00:00+00:00,faceShields,500.0
391,don391,2020-04-19 04:00:00+00:00,faceShields,40.0
392,don392,2020-04-19 04:00:00+00:00,faceShields,50.0
393,don736,2020-04-19 04:00:00+00:00,faceShields,1000.0
394,don394,2020-04-19 04:00:00+00:00,handmadeMasks,200.0
395,don395,2020-04-19 04:00:00+00:00,faceShields,30.0
396,don396,2020-04-19 04:00:00+00:00,respirators,1000000.0
397,don397,2020-04-19 04:00:00+00:00,respirators,1000.0
398,don398,2020-04-19 04:00:00+00:00,respirators,1200.0
399,don399,2020-04-19 04:00:00+00:00,respirators,38.0
400,don400,2020-04-19 04:00:00+00:00,respirators,5.0
401,don401,2020-04-19 04:00:00+00:00,respirators,500.0
402,don402,2020-04-19 04:00:00+00:00,respirators,3.0
403,don665,2020-04-19 04:00:00+00:00,nitrileGloves,90.0
404,don589,2020-04-19 04:00:00+00:00,nitrileGloves,20.0
405,don405,2020-04-19 04:00:00+00:00,nitrileGloves,6.0
406,don406,2020-04-19 04:00:00+00:00,nitrileGloves,120000.0
407,don407,2020-04-19 04:00:00+00:00,faceShields,15.0
408,don408,2020-04-19 04:00:00+00:00,faceShields,50.0
409,don409,2020-04-19 04:00:00+00:00,faceShields,40.0
410,don410,2020-04-19 04:00:00+00:00,faceShields,500.0
411,don411,2020-04-19 04:00:00+00:00,respirators,30.0
412,don412,2020-04-19 04:00:00+00:00,respirators,15.0
413,don413,2020-04-19 04:00:00+00:00,printedFaceShields,100.0
414,don414,2020-04-19 04:00:00+00:00,respirators,2.0
415,don415,2020-04-19 04:00:00+00:00,nitrileGloves,200.0
416,don416,2020-04-19 04:00:00+00:00,handmadeMasks,12500.0
417,don417,2020-04-19 04:00:00+00:00,handmadeMasks,50.0
418,don448,2020-04-19 04:00:00+00:00,handmadeMasks,20.0
419,don764,2020-04-19 04:00:00+00:00,handmadeMasks,1000.0
420,don420,2020-04-19 04:00:00+00:00,handmadeMasks,50.0
421,don421,2020-04-19 04:00:00+00:00,surgicalMasks,20000.0
422,don422,2020-04-19 04:00:00+00:00,respirators,1.0
423,don423,2020-04-19 04:00:00+00:00,surgicalMasks,150.0
424,don424,2020-04-19 04:00:00+00:00,surgicalMasks,40.0
425,don425,2020-04-19 04:00:00+00:00,surgicalMasks,50.0
426,don426,2020-04-19 04:00:00+00:00,printedFaceShields,50.0
427,don427,2020-04-19 04:00:00+00:00,respirators,5.0
428,don752,2020-04-19 04:00:00+00:00,respirators,40.0
