,don_id,date,ppe,qty
0,don0,2020-03-27 11:47:00+00:00,respirators,20.0
1,don238,2020-04-09 13:08:00+00:00,printedFaceShields,10.0
2,don250,2020-04-09 13:36:00+00:00,printedFaceShields,1.0
3,don157,2020-04-09 13:53:00+00:00,printedFaceShields,3000.0
4,don156,2020-04-09 14:24:00+00:00,printedFaceShields,5.0
5,don154,2020-04-09 17:52:00+00:00,printedFaceShields,10.0
6,don107,2020-04-09 23:43:00+00:00,printedFaceShields,7.0
7,don153,2020-04-10 02:45:00+00:00,printedFaceShields,50.0
8,don484,2020-04-10 04:30:00+00:00,printedFaceShields,100.0
9,don434,2020-04-10 11:13:00+00:00,printedFaceShields,100.0
10,don463,2020-04-10 11:32:00+00:00,printedFaceShields,30.0
11,don516,2020-04-10 11:44:00+00:00,printedFaceShields,20.0
12,don513,2020-04-10 12:09:00+00:00,printedFaceShields,100.0
13,don512,2020-04-10 12:35:00+00:00,printedFaceShields,500.0
14,don319,2020-04-10 15:12:00+00:00,printedFaceShields,100.0
15,don320,2020-04-10 18:30:00+00:00,printedFaceShields,14.0
16,don720,2020-04-10 19:27:00+00:00,printedFaceShields,10.0
17,don368,2020-04-10 20:39:00+00:00,printedFaceShields,400.0
18,don395,2020-04-10 20:40:00+00:00,printedFaceShields,30.0
19,don367,2020-04-10 21:04:00+00:00,printedFaceShields,50.0
20,don369,2020-04-10 23:57:00+00:00,printedFaceShields,30.0
21,don366,2020-04-11 12:09:00+00:00,printedFaceShields,1000.0
22,don681,2020-04-11 18:00:00+00:00,printedFaceShields,70.0
23,don670,2020-04-11 18:22:00+00:00,printedFaceShields,50.0
24,don24,2020-04-11 20:55:00+00:00,surgicalCaps,2.0
25,don748,2020-04-11 21:04:00+00:00,printedFaceShields,50.0
26,don718,2020-04-12 11:39:00+00:00,printedFaceShields,5.0
27,don745,2020-04-12 14:14:00+00:00,surgicalCaps,500.0
28,don604,2020-04-12 15:57:00+00:00,printedFaceShields,50.0
29,don603,2020-04-13 10:09:00+00:00,printedFaceShields,35.0
30,don602,2020-04-13 10:22:00+00:00,printedFaceShields,100.0
31,don583,2020-04-13 11:19:00+00:00,printedFaceShields,100.0
32,don755,2020-04-13 12:04:00+00:00,printedFaceShields,5000.0
33,don757,2020-04-13 12:46:00+00:00,printedFaceShields,1.0
34,don754,2020-04-13 13:04:00+00:00,printedFaceShields,500.0
35,don758,2020-04-13 13:53:00+00:00,printedFaceShields,50.0
36,don192,2020-04-13 14:47:00+00:00,printedFaceShields,4000.0
37,don190,2020-04-13 15:00:00+00:00,printedFaceShields,100.0
38,don191,2020-04-13 15:07:00+00:00,printedFaceShields,100.0
39,don189,2020-04-13 15:14:00+00:00,printedFaceShields,48.0
40,don79,2020-04-13 15:47:00+00:00,printedFaceShields,400.0
41,don605,2020-04-13 15:51:00+00:00,printedFaceShields,15.0
42,don155,2020-04-13 16:46:00+00:00,printedFaceShields,100000.0
43,don80,2020-04-13 18:58:00+00:00,printedFaceShields,100.0
44,don717,2020-04-13 21:30:00+00:00,surgicalCaps,6.0
45,don127,2020-04-13 23:44:00+00:00,printedFaceShields,100.0
46,don128,2020-04-14 01:46:00+00:00,printedFaceShields,500.0
47,don480,2020-04-14 15:03:00+00:00,printedFaceShields,2000.0
48,don547,2020-04-14 17:48:00+00:00,printedFaceShields,25.0
49,don349,2020-04-15 10:21:00+00:00,printedFaceShields,100.0
